N° ocorrência;Data;Matrícula;Classificação;Tipo;Localidade;UF;Aeródromo;Operação;Status
84647;09/05/2024;PRSDL;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;GUARULHOS;SP;SBGR;NÃO REGULAR;FINALIZADA
84650;08/05/2024;PRRTE;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;MANAUS;AM;SBEG;NÃO REGULAR;FINALIZADA
84642;08/05/2024;PRSDV;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SALVADOR;BA;***;REGULAR;FINALIZADA
84639;08/05/2024;PRSDU;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
84648;07/05/2024;PRFAA;ACIDENTE;VOO CONTROLADO CONTRA O TERRENO;IRACEMA;RR;***;PRIVADA;ATIVA
84625;06/05/2024;PRYSO;INCIDENTE;COLISÃO COM AVE;CAMPINAS;SP;SBKP;REGULAR;FINALIZADA
84624;06/05/2024;PRPDS;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;JUAZEIRO DO NORTE;CE;SBJU;REGULAR;FINALIZADA
84623;06/05/2024;PRMBV;INCIDENTE;COLISÃO COM AVE;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
84646;04/05/2024;PSLRE;INCIDENTE GRAVE;INCURSÃO EM PISTA;RIO DE JANEIRO;RJ;SBRJ;PRIVADA;FINALIZADA
84622;03/05/2024;PPPML;INCIDENTE;COLISÃO COM AVE;JANDIRA;SP;***;PRIVADA;FINALIZADA
84618;01/05/2024;PRFOT;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BELO HORIZONTE;MG;SBBH;ESPECIALIZADA;FINALIZADA
84569;30/04/2024;PRYSB;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;PORTO ALEGRE;RS;SBPA;REGULAR;FINALIZADA
84567;30/04/2024;PRAJY;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;CAMPINAS;SP;SBKP;REGULAR;FINALIZADA
84566;30/04/2024;PRTYO;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
84565;30/04/2024;N538LA;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;RIO DE JANEIRO;RJ;SBGL;REGULAR;FINALIZADA
84564;29/04/2024;PTTME;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;RIO DE JANEIRO;RJ;SBGL;REGULAR;FINALIZADA
84563;29/04/2024;PRVTF;ACIDENTE;EXCURSÃO DE PISTA, FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;CUIABÁ;MT;SBCY;PRIVADA;ATIVA
84649;27/04/2024;PPDUN;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;CERQUILHO;SP;***;PRIVADA;FINALIZADA
84597;26/04/2024;PSJMS;ACIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR, OPERAÇÃO A BAIXA ALTITUDE;TAPURAH;MT;****;AGRÍCOLA;ATIVA
84596;26/04/2024;PSDHM;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;CAMPINAS;SP;***;PRIVADA;FINALIZADA
84568;26/04/2024;PTTMA;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
84496;26/04/2024;PRSLU;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;RECIFE;PE;SBRF;REGULAR;FINALIZADA
84495;26/04/2024;PTTMA;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
84494;26/04/2024;PTMXO;INCIDENTE;CONTATO ANORMAL COM A PISTA;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
84493;26/04/2024;PRAXX;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;CAMPINAS;SP;SBKP;REGULAR;FINALIZADA
84492;26/04/2024;PRYYJ;INCIDENTE;OUTROS;CAMPINAS;SP;SBKP;REGULAR;FINALIZADA
84599;25/04/2024;PTNJM;ACIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;FELIZ NATAL;MT;***;PRIVADA;ATIVA
84489;25/04/2024;PRYJD;INCIDENTE;COLISÃO COM AVE;MANAUS;AM;SBEG;REGULAR;FINALIZADA
84595;24/04/2024;PUJCD;ACIDENTE;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO, FALHA OU MAU FUNCIONAMENTO DO MOTOR;ARIQUEMES;RO;SJOG;EXPERIMENTAL;ATIVA
84561;24/04/2024;PTMXI;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;BRASÍLIA;DF;SBBR;REGULAR;FINALIZADA
84548;24/04/2024;PRSDM;INCIDENTE;COLISÃO COM AVE;FORTALEZA;CE;****;REGULAR;FINALIZADA
84490;24/04/2024;PRTYA;INCIDENTE;COLISÃO COM AVE;JOINVILLE;SC;SBJV;REGULAR;FINALIZADA
84488;24/04/2024;PRMBG;INCIDENTE;COLISÃO COM AVE;SÃO PAULO;SP;SBSP;REGULAR;FINALIZADA
84449;24/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;PORTO ALEGRE;RS;SBPA;***;FINALIZADA
84448;24/04/2024;PRMYM;INCIDENTE;COLISÃO COM AVE;SALVADOR;BA;SBSV;REGULAR;FINALIZADA
84562;23/04/2024;PTVYD;INCIDENTE GRAVE;OPERAÇÃO A BAIXA ALTITUDE;CAMPOS DE JÚLIO;MT;SISW;PRIVADA;FINALIZADA
84560;23/04/2024;PPDYB;ACIDENTE;EXCURSÃO DE PISTA;ERECHIM;RS;SSER;PRIVADA;ATIVA
84549;23/04/2024;PRADL;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SÃO PAULO;SP;SBSP;***;FINALIZADA
84497;23/04/2024;PRYRS;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
84491;23/04/2024;PTXPC;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
84446;23/04/2024;BRXXX2;INCIDENTE;COLISÃO COM FAUNA;BAYEUX;PB;SBJP;***;FINALIZADA
84487;22/04/2024;PTXPO;INCIDENTE;COLISÃO COM AVE;SALVADOR;BA;SBSV;REGULAR;FINALIZADA
84485;22/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;PETROLINA;PE;SBPL;***;FINALIZADA
84435;22/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;BAYEUX;PB;SBJP;***;FINALIZADA
84433;22/04/2024;PRWRF;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SÃO JOSÉ DO RIO PRETO;SP;SBSR;NÃO REGULAR;FINALIZADA
84486;21/04/2024;PTTMA;INCIDENTE;COLISÃO COM AVE;SALVADOR;BA;SBSV;REGULAR;FINALIZADA
84447;21/04/2024;PRSTP;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SÃO LUÍS;MA;SBSL;***;FINALIZADA
84445;21/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;CALDAS NOVAS;GO;SBCN;***;FINALIZADA
84444;21/04/2024;XX-XXX;INCIDENTE GRAVE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SÃO JOÃO DA BOA VISTA;SP;****;EXPERIMENTAL;FINALIZADA
84441;21/04/2024;PRMBG;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;VITÓRIA DA CONQUISTA;BA;SBVC;REGULAR;FINALIZADA
84571;20/04/2024;PRXBO;INCIDENTE;COLISÃO COM AVE;ARACAJU;SE;SBAR;REGULAR;FINALIZADA
84570;20/04/2024;PRAUD;INCIDENTE;COLISÃO COM FAUNA;CURITIBA;PR;SBCT;REGULAR;FINALIZADA
84483;20/04/2024;PPJJC;INCIDENTE GRAVE;FALHA OU MAU FUNCIONAMENTO DO MOTOR, OPERAÇÃO A BAIXA ALTITUDE;SÃO FÉLIX DO ARAGUAIA;MT;****;AGRÍCOLA;ATIVA
84432;20/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;JOINVILLE;SC;SBJV;***;FINALIZADA
84430;20/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;JOINVILLE;SC;SBJV;***;FINALIZADA
84273;20/04/2024;PPHJF;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;PINDAMONHANGABA;SP;SDZH;PRIVADA;FINALIZADA
84572;19/04/2024;PRMYI;INCIDENTE;COLISÃO COM AVE;PRAIA GRANDE;SP;***;REGULAR;FINALIZADA
84551;19/04/2024;PTZFX;INCIDENTE GRAVE;FALHA OU MAU FUNCIONAMENTO DO MOTOR, OUTROS;SANTA BÁRBARA D'OESTE;SP;****;EXPERIMENTAL;FINALIZADA
84443;19/04/2024;PRGXA;INCIDENTE;COLISÃO COM AVE;BRASÍLIA;DF;SBBR;REGULAR;FINALIZADA
84440;19/04/2024;PRYRY;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BELÉM;PA;SBBE;REGULAR;FINALIZADA
84437;19/04/2024;PRYRY;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BELÉM;PA;SBBE;REGULAR;FINALIZADA
84434;19/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;SANTARÉM;PA;SBSN;***;FINALIZADA
84427;19/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;ARACAJU;SE;SBAR;***;FINALIZADA
84425;19/04/2024;BRXXX2;INCIDENTE;COLISÃO COM FAUNA;TERESINA;PI;SBTE;***;FINALIZADA
84424;19/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;SALVADOR;BA;SBSV;***;FINALIZADA
84421;19/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;BELÉM;PA;SBBE;***;FINALIZADA
84420;19/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;RECIFE;PE;SBRF;***;FINALIZADA
84418;19/04/2024;PRMBA;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;CURITIBA;PR;SBCT;REGULAR;FINALIZADA
84592;18/04/2024;;INCIDENTE;COLISÃO COM FAUNA;MACEIÓ;AL;SBMO;;FINALIZADA
84591;18/04/2024;PRGEI;INCIDENTE;COLISÃO COM AVE;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
84583;18/04/2024;PRYSA;INCIDENTE;COLISÃO COM FAUNA;ÁGUAS DE CHAPECÓ;SC;SBCH;REGULAR;FINALIZADA
84442;18/04/2024;PRGXP;INCIDENTE;POUSO AQUÉM/ALÉM DA PISTA;SINOP;MT;SBSI;REGULAR;FINALIZADA
84422;18/04/2024;PPEFM;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FORTALEZA;CE;****;POLICIAL;FINALIZADA
84416;18/04/2024;BRXXX2;INCIDENTE;COLISÃO COM FAUNA;CURITIBA;PR;SBCT;***;FINALIZADA
84249;18/04/2024;PTHBM;ACIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR, PERDA DE CONTROLE NO SOLO;CAMPO GRANDE;MS;SSKG;POLICIAL;ATIVA
84620;17/04/2024;GYMMH;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;RIO DE JANEIRO;RJ;SBGL;REGULAR;FINALIZADA
84594;17/04/2024;PRTTW;INCIDENTE;COLISÃO COM AVE;FLORIANÓPOLIS;SC;SBFL;REGULAR;FINALIZADA
84590;17/04/2024;CCDID;INCIDENTE;COLISÃO COM AVE;RIO DE JANEIRO;RJ;SBGL;REGULAR;FINALIZADA
84589;17/04/2024;PRGXI;INCIDENTE;COLISÃO COM AVE;MACEIÓ;AL;SBMO;REGULAR;FINALIZADA
84587;17/04/2024;PRAXD;INCIDENTE;COLISÃO COM AVE;CURITIBA;PR;SBCT;REGULAR;FINALIZADA
84586;17/04/2024;PRYRL;INCIDENTE;COLISÃO COM AVE;SÃO PAULO;SP;SBSP;REGULAR;FINALIZADA
84580;17/04/2024;PRXMV;INCIDENTE;COLISÃO COM AVE;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
84431;17/04/2024;PRPTG;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SÃO PAULO;SP;SBSP;PRIVADA;FINALIZADA
84415;17/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;MARINGÁ;PR;SBMG;***;FINALIZADA
84412;17/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;BELÉM;PA;SBBE;***;FINALIZADA
84409;17/04/2024;PRGXX;INCIDENTE;INDETERMINADO;RIO DE JANEIRO;RJ;SBGL;REGULAR;FINALIZADA
84408;17/04/2024;PTIZO;INCIDENTE GRAVE;EXCURSÃO DE PISTA;ATIBAIA;SP;SDTB;INSTRUÇÃO;FINALIZADA
84407;17/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;ÁGUAS DE CHAPECÓ;SC;SBCH;***;FINALIZADA
84271;17/04/2024;PRSDJ;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;RECIFE;PE;SBRF;REGULAR;FINALIZADA
84266;17/04/2024;N807AA;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;RIO DE JANEIRO;RJ;SBGL;REGULAR;FINALIZADA
84265;17/04/2024;PRSDJ;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;RECIFE;PE;SBRF;REGULAR;FINALIZADA
84588;16/04/2024;PTLEB;INCIDENTE;COLISÃO COM AVE;MARÍLIA;SP;SBML;PRIVADA;FINALIZADA
84582;16/04/2024;PRXMA;INCIDENTE;COLISÃO COM FAUNA;BAYEUX;PB;SBJP;REGULAR;FINALIZADA
84417;16/04/2024;PRSDV;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;MANAUS;AM;SBEG;REGULAR;FINALIZADA
84414;16/04/2024;PTUXF;ACIDENTE;EXCURSÃO DE PISTA, PERDA DE CONTROLE NO SOLO;BURITI;MA;****;AGRÍCOLA;ATIVA
84411;16/04/2024;PTMUI;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FORTALEZA;CE;SBFZ;REGULAR;FINALIZADA
84406;16/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;BELO HORIZONTE;MG;SBBH;***;FINALIZADA
84404;16/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;MACEIÓ;AL;SBMO;***;FINALIZADA
84402;16/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;SÃO PAULO;SP;SBSP;***;FINALIZADA
84608;15/04/2024;PRAKM;INCIDENTE;COLISÃO COM AVE;ARACAJU;SE;SBAR;REGULAR;FINALIZADA
84603;15/04/2024;PRMYM;INCIDENTE;COLISÃO COM AVE;IMPERATRIZ;MA;SBIZ;REGULAR;FINALIZADA
84584;15/04/2024;PRYRX;INCIDENTE;COLISÃO COM AVE;PARAUAPEBAS;PA;SBCJ;REGULAR;FINALIZADA
84577;15/04/2024;PPPTQ;INCIDENTE;COLISÃO COM AVE;PRESIDENTE PRUDENTE;SP;SBDN;REGULAR;FINALIZADA
84573;15/04/2024;PRTYH;INCIDENTE;COLISÃO COM AVE;IMPERATRIZ;MA;SBIZ;REGULAR;FINALIZADA
84559;15/04/2024;PRGPG;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SANTA ISABEL DO RIO NEGRO;AM;SWTP;***;FINALIZADA
84481;15/04/2024;BRXXX2;INCIDENTE;COLISÃO COM FAUNA;MONTES CLAROS;MG;SBMK;***;FINALIZADA
84477;15/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;MACEIÓ;AL;SBMO;***;FINALIZADA
84476;15/04/2024;PTFBO;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BARCELOS;AM;****;***;FINALIZADA
84473;15/04/2024;BRXXX2;INCIDENTE;COLISÃO COM FAUNA;BAYEUX;PB;SBJP;***;FINALIZADA
84439;15/04/2024;PRAQR;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;CAMPINAS;SP;SBKP;REGULAR;FINALIZADA
84423;15/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;PETROLINA;PE;SBPL;***;FINALIZADA
84403;15/04/2024;PTPVH;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SÃO JOSÉ DO RIO PRETO;SP;SBSR;PRIVADA;FINALIZADA
84605;14/04/2024;PRAUM;INCIDENTE;COLISÃO COM AVE;JUAZEIRO DO NORTE;CE;SBJU;REGULAR;FINALIZADA
84575;14/04/2024;PRGXB;INCIDENTE;COLISÃO COM AVE;SALVADOR;BA;SBSV;REGULAR;FINALIZADA
84484;14/04/2024;PTGYQ;ACIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;BRASIL NOVO;PA;****;AGRÍCOLA;ATIVA
84471;14/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;PORTO ALEGRE;RS;SBPA;***;FINALIZADA
84438;14/04/2024;PRATV;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;RECIFE;PE;SBRF;REGULAR;FINALIZADA
84436;14/04/2024;PRYXT;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SÃO GONÇALO DO AMARANTE;RN;SBSG;REGULAR;FINALIZADA
84429;14/04/2024;PRAKI;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;RECIFE;PE;SBRF;REGULAR;FINALIZADA
84419;14/04/2024;PRATV;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;RECIFE;PE;SBRF;REGULAR;FINALIZADA
84390;14/04/2024;PRYXT;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SÃO GONÇALO DO AMARANTE;RN;SBSG;REGULAR;FINALIZADA
84615;13/04/2024;PRAXT;INCIDENTE;COLISÃO COM AVE;PORTO ALEGRE;RS;SBPA;REGULAR;FINALIZADA
84614;13/04/2024;PRMYN;INCIDENTE;COLISÃO COM AVE;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
84607;13/04/2024;PRMYW;INCIDENTE;COLISÃO COM AVE;TERESINA;PI;SBTE;REGULAR;FINALIZADA
84606;13/04/2024;PRYXT;INCIDENTE;COLISÃO COM AVE;SÃO GONÇALO DO AMARANTE;RN;SBSG;REGULAR;FINALIZADA
84604;13/04/2024;PRMBH;INCIDENTE;COLISÃO COM AVE;JAGUARUNA;SC;SBJA;REGULAR;FINALIZADA
84578;13/04/2024;PRYRC;INCIDENTE;COLISÃO COM AVE;ALTAMIRA;PA;SBHT;REGULAR;FINALIZADA
84574;13/04/2024;PRMAG;INCIDENTE;COLISÃO COM AVE;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
84544;13/04/2024;PPSCF;INCIDENTE;COLISÃO COM AVE;TAUÁ;CE;SDZG;***;FINALIZADA
84479;13/04/2024;BRXXX2;INCIDENTE;COLISÃO COM FAUNA;JUAZEIRO DO NORTE;CE;SBJU;***;FINALIZADA
84472;13/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;NAVEGANTES;SC;SBNF;***;FINALIZADA
84410;13/04/2024;PRAXJ;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;RIO DE JANEIRO;RJ;SBGL;REGULAR;FINALIZADA
84391;13/04/2024;PRSDH;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;CONFINS;MG;SBCF;***;FINALIZADA
84270;13/04/2024;PRAXX;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;CUIABÁ;MT;SBCY;REGULAR;FINALIZADA
84269;13/04/2024;PRYRT;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;CUIABÁ;MT;***;REGULAR;FINALIZADA
84610;12/04/2024;PRYRE;INCIDENTE;COLISÃO COM AVE;APARECIDA DE GOIÂNIA;GO;SBGO;REGULAR;FINALIZADA
84609;12/04/2024;PRGUX;INCIDENTE;COLISÃO COM AVE;PORTO SEGURO;BA;SBPS;REGULAR;FINALIZADA
84593;12/04/2024;PPEMH;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;VITÓRIA;ES;SIHC;PRIVADA;FINALIZADA
84546;12/04/2024;PRXME;INCIDENTE;COLISÃO COM AVE;PARAUAPEBAS;PA;SBCJ;REGULAR;FINALIZADA
84542;12/04/2024;PSAEE;INCIDENTE;COLISÃO COM AVE;JUAZEIRO DO NORTE;CE;SBJU;REGULAR;FINALIZADA
84541;12/04/2024;PRYSA;INCIDENTE;COLISÃO COM AVE;RECIFE;PE;SBRF;REGULAR;FINALIZADA
84478;12/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;JUAZEIRO DO NORTE;CE;SBJU;***;FINALIZADA
84392;12/04/2024;PRSLU;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;APARECIDA DE GOIÂNIA;GO;***;REGULAR;FINALIZADA
84352;12/04/2024;PSHTA;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;BELÉM;PA;***;***;FINALIZADA
84248;12/04/2024;PTVZP;ACIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR, OPERAÇÃO A BAIXA ALTITUDE;BRASNORTE;MT;SWZY;AGRÍCOLA;ATIVA
84201;12/04/2024;PTPEK;ACIDENTE;PERDA DE CONTROLE NO SOLO;FORMOSA DO RIO PRETO;BA;SWEB;PRIVADA;ATIVA
84612;11/04/2024;PRYRF;INCIDENTE;COLISÃO COM AVE;ARACAJU;SE;SBAR;REGULAR;FINALIZADA
84545;11/04/2024;PRMHE;INCIDENTE;COLISÃO COM AVE;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
84539;11/04/2024;PPOLY;INCIDENTE;COLISÃO COM AVE;PALMAS;TO;SBPJ;PRIVADA;FINALIZADA
84537;11/04/2024;PRMHW;INCIDENTE;COLISÃO COM AVE;SÃO JOSÉ DO RIO PRETO;SP;SBSR;REGULAR;FINALIZADA
84533;11/04/2024;PRGEI;INCIDENTE;COLISÃO COM AVE;TERESINA;PI;SBTE;REGULAR;FINALIZADA
84532;11/04/2024;CCDIB;INCIDENTE;COLISÃO COM AVE;RIO DE JANEIRO;RJ;SBGL;REGULAR;FINALIZADA
84531;11/04/2024;PRTYN;INCIDENTE;COLISÃO COM AVE;RIO DE JANEIRO;RJ;SBGL;REGULAR;FINALIZADA
84529;11/04/2024;PROHQ;INCIDENTE;COLISÃO COM AVE;CABO FRIO;RJ;SBCB;TÁXI AÉREO;FINALIZADA
84528;11/04/2024;PRYJF;INCIDENTE;COLISÃO COM AVE;RECIFE;PE;SBRF;REGULAR;FINALIZADA
84527;11/04/2024;PTMXJ;INCIDENTE;COLISÃO COM AVE;RIO DE JANEIRO;RJ;SBGL;REGULAR;FINALIZADA
84519;11/04/2024;PRGUB;INCIDENTE;COLISÃO COM AVE;CURITIBA;PR;SBCT;REGULAR;FINALIZADA
84480;11/04/2024;BRXXX2;INCIDENTE;COLISÃO COM FAUNA;CAMPINAS;SP;SBKP;***;FINALIZADA
84475;11/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;CONFINS;MG;SBCF;***;FINALIZADA
84470;11/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;BELÉM;PA;SBBE;***;FINALIZADA
84394;11/04/2024;PRSDM;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;RECIFE;PE;***;REGULAR;FINALIZADA
84257;11/04/2024;PSOTE;ACIDENTE;EXCURSÃO DE PISTA, PERDA DE CONTROLE NO SOLO;SALINÓPOLIS;PA;SNSM;PRIVADA;ATIVA
84619;10/04/2024;PTRQY;ACIDENTE;OUTROS, RELACIONADO COM SECURITY;RONDOLÂNDIA;MT;***;PRIVADA;FINALIZADA
84613;10/04/2024;PRTYD;INCIDENTE;COLISÃO COM AVE;APARECIDA DE GOIÂNIA;GO;SBGO;REGULAR;FINALIZADA
84585;10/04/2024;PRMYN;INCIDENTE;COLISÃO COM AVE;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
84540;10/04/2024;PRYJF;INCIDENTE;COLISÃO COM FAUNA;RECIFE;PE;SBRF;REGULAR;FINALIZADA
84526;10/04/2024;PTTPB;INCIDENTE;COLISÃO COM AVE;PORTO VELHO;RO;SBPV;REGULAR;FINALIZADA
84525;10/04/2024;PSLBE;INCIDENTE;COLISÃO COM AVE;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
84524;10/04/2024;PRGUB;INCIDENTE;COLISÃO COM AVE;CURITIBA;PR;SBCT;REGULAR;FINALIZADA
84520;10/04/2024;PRGOQ;INCIDENTE;COLISÃO COM AVE;RIO DE JANEIRO;RJ;SBRJ;REGULAR;FINALIZADA
84466;10/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;RIO BRANCO;AC;SBRB;***;FINALIZADA
84464;10/04/2024;BRXXX2;INCIDENTE;COLISÃO COM AVE;APARECIDA DE GOIÂNIA;GO;SBGO;***;FINALIZADA
84463;10/04/2024;BRXXX2;INCIDENTE;COLISÃO COM FAUNA;PALMAS;TO;SBPJ;***;FINALIZADA
84405;10/04/2024;BRXXX2;INCIDENTE;COLISÃO COM FAUNA;SALVADOR;BA;SBSV;***;FINALIZADA
84387;10/04/2024;PTTPB;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;PORTO VELHO;RO;***;REGULAR;FINALIZADA
84611;09/04/2024;PRYSH;INCIDENTE;COLISÃO COM AVE;MARABÁ;PA;SBMA;REGULAR;FINALIZADA
84576;09/04/2024;PRYRF;INCIDENTE;COLISÃO COM AVE;VITÓRIA;ES;SBVT;REGULAR;FINALIZADA
84547;09/04/2024;PTGBG;ACIDENTE;VOO CONTROLADO CONTRA O TERRENO;UBERABA;MG;****;AGRÍCOLA;ATIVA
84534;09/04/2024;PRGEA;INCIDENTE;COLISÃO COM AVE;SALVADOR;BA;SBSV;REGULAR;FINALIZADA
84530;09/04/2024;PRXBF;INCIDENTE;COLISÃO COM AVE;FOZ DO IGUAÇU;PR;SBFI;REGULAR;FINALIZADA
84523;09/04/2024;PRGXT;INCIDENTE;COLISÃO COM AVE;SÃO PAULO;SP;SBSP;REGULAR;FINALIZADA
84522;09/04/2024;PRGGZ;INCIDENTE;COLISÃO COM AVE;APARECIDA DE GOIÂNIA;GO;SBGO;REGULAR;FINALIZADA
