N° ocorrência;Data;Matrícula;Classificação;Tipo;Localidade;UF;Aeródromo;Operação;Status
77740;11/03/2018;PTEVU;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SÃO PAULO;SP;SBMT;ESPECIALIZADA;FINALIZADA
77742;10/03/2018;PTUMR;ACIDENTE;OPERAÇÃO A BAIXA ALTITUDE;URUÇUÍ;PI;***;AGRÍCOLA;FINALIZADA
77856;09/03/2018;PRAXL;INCIDENTE;AERÓDROMO;CACOAL;RO;SSKW;REGULAR;FINALIZADA
77732;08/03/2018;PRHBB;ACIDENTE;INDETERMINADO;JOINVILLE;SC;***;TÁXI AÉREO;FINALIZADA
77730;08/03/2018;PTLRP;INCIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;NOBRES;MT;SWVZ;PRIVADA;FINALIZADA
77736;07/03/2018;PRAYG;INCIDENTE;COLISÃO COM AVE;CAMPINAS;SP;SBKP;REGULAR;FINALIZADA
77734;07/03/2018;PUGOS;INCIDENTE GRAVE;EXCURSÃO DE PISTA, PERDA DE CONTROLE NO SOLO;JOÃO PESSOA;PB;SNJO;PRIVADA;FINALIZADA
77733;07/03/2018;PTUZP;ACIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;SÃO DESIDÉRIO;BA;***;AGRÍCOLA;FINALIZADA
77731;06/03/2018;PTBIT;ACIDENTE;COLISÃO NO SOLO;AGUDO;RS;***;AGRÍCOLA;FINALIZADA
77728;06/03/2018;PREBF;INCIDENTE GRAVE;***;TANGARÁ DA SERRA;MT;***;PRIVADA;NULL
77729;04/03/2018;PPSIA;INCIDENTE GRAVE;PERDA DE SEPARAÇÃO / COLISÃO EM VOO;TEÓFILO OTONI;MG;SNTO;PRIVADA;FINALIZADA
77710;04/03/2018;PPZQR;ACIDENTE;PERDA DE CONTROLE EM VOO;OSÓRIO;RS;***;EXPERIMENTAL;FINALIZADA
77702;01/03/2018;PRYRL;INCIDENTE;OUTROS;GUARULHOS;SP;SBGR;REGULAR;FINALIZADA
77696;28/02/2018;PTNPG;ACIDENTE;COLISÃO COM FAUNA, EXCURSÃO DE PISTA;ITAITUBA;PA;SNMD;PRIVADA;FINALIZADA
77673;28/02/2018;PPHOG;INCIDENTE GRAVE;EXCURSÃO DE PISTA, PERDA DE CONTROLE NO SOLO;PASSO FUNDO;RS;SBPF;INSTRUÇÃO;FINALIZADA
77691;27/02/2018;PTIEL;ACIDENTE;PERDA DE CONTROLE EM VOO;BRASILÂNDIA;MS;***;PRIVADA;FINALIZADA
77699;26/02/2018;PTVUZ;ACIDENTE;PERDA DE CONTROLE EM VOO;ENTRE-IJUÍS;RS;***;AGRÍCOLA;FINALIZADA
77694;26/02/2018;PRBTS;INCIDENTE;EXCURSÃO DE PISTA;SÃO PAULO;SP;SBSP;PRIVADA;FINALIZADA
77717;25/02/2018;PRVEC;ACIDENTE;EXCURSÃO DE PISTA;QUADRA;SP;**NI;PRIVADA;FINALIZADA
